metric,point_estimate,ci_95_lower,ci_95_upper,bootstrap_unit,iterations
rmse_ug_m3,16.0422708213085,15.01867989431296,17.138399285169353,target day,600
mae_ug_m3,10.285114814258465,9.725466219730743,10.813042465121189,target day,600
r2,0.5811863617461547,0.5479486238280015,0.6125182482147723,target day,600
bias_ug_m3,0.25381221094761214,-0.6932405871888596,1.0884436220734774,target day,600
