model,feature_set,encoded_feature_count,val_rmse_ug_m3,val_mae_ug_m3,val_r2,val_bias_ug_m3,val_bucket_accuracy,val_bucket_f1_macro,val_usg_plus_recall,val_usg_plus_precision,val_unhealthy_plus_recall,val_unhealthy_plus_precision
City Ridge,weather_enriched,75,17.720596682160483,11.002741094845321,0.5041900273668558,-1.1453408589603655,0.6565842359833776,0.31096238311098373,0.785972248621935,0.7394492131616596,0.4431057563587684,0.6110769230769231
City Ridge,full_with_osm,81,17.720596682160483,11.00274109484532,0.5041900273668558,-1.1453408589603682,0.6565842359833776,0.31096238311098373,0.785972248621935,0.7394492131616596,0.4431057563587684,0.6110769230769231
City Ridge,history_pollution,53,17.73347204590703,10.979025252488142,0.5034692781736032,-0.606434177249017,0.6591729681858437,0.31825124528393595,0.810682379775708,0.7268234492160872,0.4828201695671575,0.6154721274175199
Hierarchical Ridge Ensemble,full_with_osm,81,17.6780572732844,10.992211655017773,0.5065676163200286,-0.790889078953878,0.6584917228694053,0.3048511575120755,0.7937654438319711,0.736637855000882,0.4524765729585007,0.6298136645962733
Hierarchical Ridge Ensemble,weather_enriched,75,17.67805727868397,10.992211770824035,0.5065676160186015,-0.790888477577206,0.6584917228694053,0.3048511575120755,0.7937654438319711,0.736637855000882,0.4524765729585007,0.6298136645962733
Hierarchical Ridge Ensemble,history_pollution,53,17.72120869616878,10.968403554480837,0.504155779322715,-0.49510094113487824,0.6602629606921453,0.3132045523299659,0.8137236266869416,0.7291773122125702,0.4819277108433735,0.6167904054825813
Ridge Regression,full_with_osm,81,17.883018966938895,11.302243881863557,0.4950594488632152,-0.036217387424579334,0.6585598474010491,0.3063357792303352,0.8087816004561871,0.728595890410959,0.464078536367693,0.6372549019607843
Ridge Regression,weather_enriched,75,17.883019213046914,11.3022445177281,0.4950594349651234,-0.036215508122485515,0.6585598474010491,0.3063357792303352,0.8087816004561871,0.728595890410959,0.464078536367693,0.6372549019607843
Ridge Regression,history_pollution,53,17.925267604224114,11.203328120041942,0.49267078619908966,-0.049767996678323954,0.659036719122556,0.3041998014800336,0.816194639802319,0.7294037710208935,0.4810352521195895,0.6142450142450142
