round,train_rmse,val_rmse
1,19.843846956431772,25.455118469542022
2,19.498050884466153,25.09571554250391
3,19.172668009970934,24.756295515649594
4,18.866957741086154,24.39245263383181
5,18.584281168294126,24.039155802140925
6,18.31251103530083,23.70866379215188
7,18.054845873000193,23.445616177691097
8,17.81199791102354,23.148604748690055
9,17.58564750529592,22.879744662274746
10,17.366059843723036,22.630814804179234
11,17.16363520042647,22.3998864113279
12,16.97514767733647,22.170704978001297
13,16.793806830637184,21.94600608201825
14,16.62022734898611,21.776726452978572
15,16.461044035465342,21.58354779892543
16,16.308102841522917,21.40320921443637
17,16.167502418438144,21.225874579145124
18,16.035596096840376,21.077088346620744
19,15.907049498711316,20.95569341570042
20,15.787502726841627,20.82774677739499
21,15.67380651774668,20.69660171633771
22,15.566016854525007,20.583148987016404
23,15.46524392539421,20.464155447679143
24,15.371038007239415,20.335662449708888
25,15.279840122857205,20.24670397090303
26,15.195468827649698,20.154061159642357
27,15.11591191836883,20.05824859282783
28,15.042872628567387,19.9636507317219
29,14.972991562773426,19.88776362667844
30,14.907972267255019,19.809600860402476
31,14.842286452375872,19.74087977001357
32,14.779953775538615,19.67447089129442
33,14.724111892467652,19.603302575433236
34,14.670059315319865,19.555101878660516
35,14.619249388053586,19.509164891446474
36,14.572668555201462,19.447957357421167
37,14.526956647899745,19.395058667888154
38,14.483320771464102,19.34880464025378
39,14.44316145763917,19.303731455848347
40,14.403208661729412,19.270430719043816
41,14.368607985780493,19.23478362500994
42,14.333734597066384,19.190889557324322
43,14.300446387186948,19.155895310907244
44,14.26767073104096,19.11530508123798
45,14.237916083171575,19.080801881519232
46,14.207588885578147,19.045929028886697
47,14.180031159010108,19.016681562893098
48,14.153555962844958,18.98137385783997
49,14.12860697234755,18.954055392854503
50,14.106856952817681,18.931347408964527
51,14.083889761105125,18.909651939918948
52,14.06234534692283,18.881342709192282
53,14.039224909381419,18.828190497415296
54,14.019112372891092,18.809317613386185
55,13.999874243467165,18.78642561137004
56,13.980596500387287,18.767491933236442
57,13.963233536685648,18.74954121644461
58,13.945143788874551,18.729295585521264
59,13.92851743349111,18.713125557033653
60,13.91083522373098,18.672803769479017
61,13.895148294989976,18.654226310556542
62,13.879006679956634,18.636664067291953
63,13.863967617874229,18.62225003115088
64,13.85013658234423,18.603913181406224
65,13.837089166698886,18.586302613584504
66,13.823368939226535,18.566548926872336
67,13.808157167210206,18.528958518597776
68,13.792017092488207,18.511066118851357
69,13.778994726077938,18.489810352966614
70,13.76605952163564,18.478432267098597
71,13.755330409633125,18.470156588161252
72,13.744625495034196,18.463185631433852
