model,city,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3,bucket_accuracy,bucket_f1_macro,usg_plus_recall,usg_plus_precision,unhealthy_plus_recall,unhealthy_plus_precision
Seasonal Naive,Hà Nội,4893,29.293170510288913,21.278070713263848,0.1396735972202129,0.08559166155732685,0.48681790312691603,0.29397987239187,0.7588274483677548,0.7593333333333333,0.6496086694762191,0.6472705458908218
Seasonal Naive,TP.HCM,4893,12.743428115979977,8.568976088289393,-0.03169945303490307,0.06433680768444719,0.7694665849172287,0.2383179907294376,0.4484777517564403,0.4448315911730546,0.1130952380952381,0.1130952380952381
Seasonal Naive,Đà Nẵng,4893,7.953685678968482,5.31101573676681,0.38130694410053134,-0.042223584712855075,0.8344573881054568,0.3682598061855704,0.582089552238806,0.582089552238806,0.4852941176470588,0.4852941176470588
Ridge Regression,Hà Nội,4893,25.038649377002667,18.61659843579859,0.3714319682891859,-0.6399852476884905,0.49397097894951975,0.2557581675281093,0.9123917388407728,0.7092180217503884,0.6231186032510536,0.6804733727810651
Ridge Regression,TP.HCM,4893,10.992344974454078,8.144196395538927,0.23235336197293888,1.926120658659073,0.7880645820559984,0.21326883133431396,0.41451990632318503,0.4544287548138639,0.011904761904761904,0.1111111111111111
Ridge Regression,Đà Nẵng,4893,7.9215375410842155,5.963992304534196,0.38629824849682937,2.5194176007272455,0.8638871857755978,0.3103159294167608,0.44776119402985076,0.6741573033707865,0.23529411764705882,0.64
City Ridge,Hà Nội,4893,25.05846302005225,18.759553859018045,0.3704367748122933,0.26018048697268786,0.49233599019006746,0.25390893021032507,0.9027315123251166,0.704445022095139,0.6652618904274533,0.6652618904274533
City Ridge,TP.HCM,4893,10.350640642475673,7.463663171166662,0.319363688034478,1.2445310372430616,0.7991007561823013,0.21222268714750192,0.4203747072599532,0.49449035812672176,0.0,0.0
City Ridge,Đà Nẵng,4893,7.1586274802533705,5.001379826962052,0.4988151669622728,0.8349901093426647,0.858982219497241,0.2684979573836292,0.39925373134328357,0.7642857142857142,0.1323529411764706,1.0
Hierarchical Ridge Ensemble,Hà Nội,4893,24.955441927719335,18.640517298294995,0.3756026916077332,-0.027872548118881017,0.49233599019006746,0.25432179742577166,0.9087275149900067,0.7050917549754459,0.6526189042745334,0.6728739913097455
Hierarchical Ridge Ensemble,TP.HCM,4893,10.44416367739139,7.590167947347831,0.3070083656174992,1.4626397160961881,0.7970570202329859,0.21115727782709381,0.40046838407494145,0.4789915966386555,0.0,0.0
Hierarchical Ridge Ensemble,Đà Nẵng,4893,7.248373224267316,5.1815899338244735,0.48616996316572436,1.3740069065857303,0.8657265481299816,0.2929816963775889,0.4141791044776119,0.7708333333333334,0.17647058823529413,1.0
Extra Trees,Hà Nội,4893,24.67667157886982,18.101635134740594,0.389474715881311,-1.5198024875186125,0.5037809115062334,0.2604685462982671,0.8980679546968687,0.7177848775292864,0.650210716435882,0.6887755102040817
Extra Trees,TP.HCM,4893,10.21695635624325,7.276982423870835,0.33683174377477676,0.5683838428075085,0.7921520539546291,0.21065135463955376,0.4344262295081967,0.47381864623243936,0.0,0.0
Extra Trees,Đà Nẵng,4893,7.294074157164864,5.0832190301013105,0.4796701487034163,1.0228222533648648,0.859390966687104,0.2802029472876579,0.44029850746268656,0.7065868263473054,0.25,0.7083333333333334
XGBoost,Hà Nội,4893,24.702760898134414,18.230805888391334,0.3881830822819522,-1.3976904409296695,0.504802779480891,0.26075187502724617,0.9043970686209194,0.7073996873371547,0.6592414208308248,0.691724573594441
XGBoost,TP.HCM,4893,10.433804358202869,7.382136050796743,0.3083824078971601,0.5276844133025855,0.8070713263846311,0.2091715786408791,0.3360655737704918,0.5017482517482518,0.0,0.0
XGBoost,Đà Nẵng,4893,7.278233990944347,5.242402500329563,0.4819276420251739,1.6314426670819007,0.8561209891681995,0.26997616375496786,0.48880597014925375,0.6616161616161617,0.20588235294117646,0.6363636363636364
