section,row,column,missing_rate,city,previous_time,current_time,gap_hours
missing,0,pm25_weekly_delta,0.005095695956807911,,,,
missing,1,pm25_lag_168h,0.005095695956807911,,,,
missing,2,pm25_lag_144h,0.004367739391549637,,,,
missing,3,pm25_lag_120h,0.0036397828262913646,,,,
missing,4,pm25_lag_96h,0.0029118262610330916,,,,
missing,5,pm25_lag_72h,0.0021838696957748186,,,,
missing,6,pm25_lag_48h,0.0014559131305165458,,,,
missing,7,pm25_lag_24h,0.0007279565652582729,,,,
missing,8,pm25_delta_24h,0.0007279565652582729,,,,
missing,9,pm25_lag_12h,0.00036397828262913645,,,,
missing,10,pm25_lag_6h,0.00018198914131456822,,,,
missing,11,pm25_lag_3h,9.099457065728411e-05,,,,
missing,12,pm25_delta_3h,9.099457065728411e-05,,,,
missing,13,pm25_delta_1h,3.033152355242804e-05,,,,
missing,14,pm25_lag_1h,3.033152355242804e-05,,,,
missing,15,pm10,0.0,,,,
missing,16,datetime,0.0,,,,
missing,17,pm25,0.0,,,,
missing,18,factories_2km,0.0,,,,
missing,19,cloud_cover,0.0,,,,
missing,20,pressure,0.0,,,,
missing,21,precip,0.0,,,,
missing,22,wind_dir,0.0,,,,
missing,23,wind_speed,0.0,,,,
missing,24,humidity,0.0,,,,
missing,25,temp,0.0,,,,
missing,26,city,0.0,,,,
missing,27,aqi,0.0,,,,
missing,28,eu_aqi,0.0,,,,
missing,29,co,0.0,,,,
missing,30,so2,0.0,,,,
missing,31,no2,0.0,,,,
missing,32,o3,0.0,,,,
missing,33,day_of_week,0.0,,,,
missing,34,pm25_roll_6h,0.0,,,,
missing,35,day_of_year,0.0,,,,
missing,36,season,0.0,,,,
missing,37,month,0.0,,,,
missing,38,day,0.0,,,,
missing,39,hour,0.0,,,,
missing,40,pm25_roll_24h,0.0,,,,
missing,41,aqi_category,0.0,,,,
missing,42,pm25_roll_72h,0.0,,,,
missing,43,pm25_std_6h,0.0,,,,
missing,44,pm25_roll_12h,0.0,,,,
missing,45,pm25_std_12h,0.0,,,,
missing,46,is_weekend,0.0,,,,
missing,47,factories_5km,0.0,,,,
missing,48,year,0.0,,,,
missing,49,factories_10km,0.0,,,,
missing,50,pm25_std_168h,0.0,,,,
missing,51,pm25_roll_168h,0.0,,,,
missing,52,pm25_std_72h,0.0,,,,
missing,53,pm25_std_24h,0.0,,,,
missing,54,pm25_min_24h,0.0,,,,
missing,55,pm25_roll_ratio_6h_24h,0.0,,,,
missing,56,pm25_roll_ratio_24h_72h,0.0,,,,
missing,57,pm25_max_24h,0.0,,,,
missing,58,pm25_same_hour_mean_7d,0.0,,,,
missing,59,pm25_same_hour_median_7d,0.0,,,,
missing,60,pm25_same_hour_min_7d,0.0,,,,
missing,61,pm25_same_hour_std_7d,0.0,,,,
missing,62,pm25_same_hour_max_7d,0.0,,,,
missing,63,pm25_same_hour_ratio_7d,0.0,,,,
missing,64,wind_x,0.0,,,,
missing,65,wind_y,0.0,,,,
missing,66,ventilation_index,0.0,,,,
missing,67,humid_stagnation,0.0,,,,
missing,68,rain_flag,0.0,,,,
missing,69,calm_wind,0.0,,,,
missing,70,high_humidity,0.0,,,,
missing,71,hour_sin,0.0,,,,
missing,72,hour_cos,0.0,,,,
missing,73,day_sin,0.0,,,,
missing,74,day_cos,0.0,,,,
missing,75,month_sin,0.0,,,,
missing,76,month_cos,0.0,,,,
missing,77,pm25_pm10_ratio,0.0,,,,
missing,78,no2_co_ratio,0.0,,,,
missing,79,factory_density_2km,0.0,,,,
missing,80,factory_density_5km,0.0,,,,
missing,81,factory_density_10km,0.0,,,,
