,Good,Moderate,USG,Unhealthy,Very Unhealthy,Hazardous
Good,0,515,28,8,0,0
Moderate,0,8565,1279,160,0,0
USG,0,809,1089,329,0,0
Unhealthy,0,182,590,954,0,0
Very Unhealthy,0,0,16,155,0,0
Hazardous,0,0,0,0,0,0
