epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.6246445178985596,0.5387371182441711,1.1063432693481445,0.6484793424606323,0.0010000000474974513
2,0.5566698312759399,0.5050479173660278,1.0645426511764526,0.6215724945068359,0.0010000000474974513
3,0.5332006216049194,0.49258387088775635,1.0572658777236938,0.6149665117263794,0.0010000000474974513
4,0.5169345736503601,0.48318490386009216,0.985986590385437,0.5953201651573181,0.0010000000474974513
5,0.5099844932556152,0.47820454835891724,0.9692593812942505,0.5892131328582764,0.0010000000474974513
6,0.504469633102417,0.47412335872650146,0.9574782252311707,0.5834413170814514,0.0010000000474974513
7,0.5036064982414246,0.4725608229637146,0.9081746339797974,0.5699161291122437,0.0010000000474974513
8,0.4904710054397583,0.4670448899269104,0.8736755847930908,0.563665509223938,0.0010000000474974513
9,0.48557379841804504,0.46395203471183777,0.8854297995567322,0.5647809505462646,0.0010000000474974513
10,0.48635128140449524,0.4633970558643341,0.886726975440979,0.5654922723770142,0.0010000000474974513
11,0.4841625988483429,0.461764395236969,0.9216987490653992,0.5707350969314575,0.0010000000474974513
12,0.47012200951576233,0.4533805549144745,0.8489006161689758,0.5643706917762756,0.0005000000237487257
13,0.4689755141735077,0.45297905802726746,0.8532304763793945,0.5647020936012268,0.0005000000237487257
14,0.46318504214286804,0.45012107491493225,0.8517563343048096,0.5654965043067932,0.0005000000237487257
15,0.45583823323249817,0.4476092457771301,0.8632774949073792,0.5668041110038757,0.0005000000237487257
16,0.44361817836761475,0.44333887100219727,0.8876476287841797,0.5685727596282959,0.0002500000118743628
17,0.43626004457473755,0.43990442156791687,0.8956800103187561,0.5702143907546997,0.0002500000118743628
18,0.42908167839050293,0.43770715594291687,0.898639440536499,0.5711182951927185,0.0002500000118743628
