,precision,recall,f1-score,support
Good,0.6363636363636364,0.025408348457350273,0.04886561954624782,551.0
Moderate,0.8385206532180596,0.8725509796081568,0.8551974135397277,10004.0
USG,0.3544093178036606,0.4782218230803772,0.40711009174311924,2227.0
Unhealthy,0.6159420289855072,0.44322132097334876,0.5154986522911051,1726.0
Very Unhealthy,0.0,0.0,0.0,171.0
Hazardous,0.0,0.0,0.0,0.0
accuracy,0.7202806730703727,0.7202806730703727,0.7202806730703727,0.7202806730703727
macro avg,0.4075392727284773,0.30323374535320546,0.30444529618669997,14679.0
weighted avg,0.7215465952181735,0.7202806730703727,0.7070443987729268,14679.0
