model,family,scope,horizon_hours,feature_set,train_rmse_ug_m3,train_mae_ug_m3,train_r2,train_bias_ug_m3,train_bucket_accuracy,train_bucket_f1_macro,train_usg_plus_recall,train_usg_plus_precision,train_unhealthy_plus_recall,train_unhealthy_plus_precision,val_rmse_ug_m3,val_mae_ug_m3,val_r2,val_bias_ug_m3,val_bucket_accuracy,val_bucket_f1_macro,val_usg_plus_recall,val_usg_plus_precision,val_unhealthy_plus_recall,val_unhealthy_plus_precision,test_rmse_ug_m3,test_mae_ug_m3,test_r2,test_bias_ug_m3,test_bucket_accuracy,test_bucket_f1_macro,test_usg_plus_recall,test_usg_plus_precision,test_unhealthy_plus_recall,test_unhealthy_plus_precision,val_rmse_improvement_vs_naive_pct,selected_for_deployment
Extra Trees,tree ensemble,All three cities,24,full_with_osm,6.782971638102792e-14,4.6710581601050176e-14,1.0,-2.4283235315594663e-16,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,18.42619039353353,11.206131451149846,0.4639199023595928,-2.6374482983465213,0.6512023979835139,0.2787625113058508,0.7568903250332636,0.7525987525987526,0.3070058009817046,0.6552380952380953,15.984657594153644,10.153945529570914,0.5841891632162042,0.0238012028845871,0.7184413107159888,0.304451870773392,0.7723084384093113,0.6767955801104972,0.5782814971006853,0.6890703517587939,12.314266983935129,False
XGBoost,gradient boosted trees,All three cities,24,full_with_osm,12.866314261482628,8.645267489860226,0.5947072113392083,-8.68569791570798e-05,0.7390489473913612,0.3056856246630602,0.6791693782168846,0.683414692225265,0.4519783286816615,0.6712996830041453,18.155728033471178,11.095328679953084,0.4795417315810467,-2.01919336583392,0.6553579944137884,0.2888560727208493,0.7639232085154913,0.7408294930875576,0.3663543061133422,0.6768342951360263,16.042270822243232,10.285114813172548,0.5811863616973488,0.2538122131516054,0.7226650316779072,0.3070754019923323,0.7596993210475267,0.6799045138888888,0.5846072746441751,0.6905354919053549,13.601331200076377,False
Hierarchical Ridge Ensemble,global/city linear ensemble,All three cities,24,full_with_osm,13.62821392967792,9.003466819276996,0.545285868540448,8.813638127631263e-05,0.7296052535995002,0.3084751663620022,0.6761521623380465,0.6662197610026231,0.4378591364307995,0.630943931866572,17.6780572732844,10.992211655017773,0.5065676163200286,-0.790889078953878,0.6584917228694053,0.3048511575120755,0.7937654438319711,0.736637855000882,0.4524765729585007,0.6298136645962733,16.169864471975732,10.470758393155766,0.5744977235255726,0.9362580248543456,0.718373186184345,0.3257531581537017,0.7713385063045587,0.6729426697694098,0.5777543489720611,0.6748768472906403,15.874449509003524,True
City Ridge,city-specific linear,All three cities,24,weather_enriched,13.583793169391766,8.99869799728775,0.5482452921195584,0.0005867931247626,0.7299539438318151,0.3137587985781894,0.6738448796071703,0.6676436107854631,0.4557543917254966,0.6297640653357531,17.720596682160483,11.00274109484532,0.5041900273668558,-1.1453408589603655,0.6565842359833776,0.3109623831109837,0.785972248621935,0.7394492131616596,0.4431057563587684,0.6110769230769231,16.189587991854868,10.408198952382254,0.5734590603970356,0.7799005445194713,0.7168063219565366,0.317807135124778,0.7701260911736179,0.6738807553575218,0.5872430152872957,0.6666666666666666,15.672014867349189,False
Ridge Regression,linear,All three cities,24,full_with_osm,13.990987457473114,9.290451710505886,0.5207553193262358,1.5257186022966631e-06,0.7231399555419954,0.3100451138557438,0.6773353842513163,0.6559527901913601,0.3994417993761287,0.6153262518968133,17.883018966938895,11.302243881863555,0.4950594488632152,-0.0362173874245793,0.6585598474010491,0.3063357792303352,0.8087816004561871,0.728595890410959,0.464078536367693,0.6372549019607843,16.436913413378317,10.908262378623904,0.5603271354397801,1.2685176705659422,0.7153075822603719,0.3375091347110879,0.7790979631425801,0.6667358373106453,0.555086979441223,0.6732736572890026,14.899086942761086,False
Seasonal Naive,baseline,All three cities,24,current PM2.5 only,16.57031616537221,10.33626233128478,0.3277633960773336,0.0001191358293742,0.7057780877246509,0.3770774491787181,0.6393539608353547,0.6393539608353547,0.4981119684780824,0.4981119684780824,21.01389788251833,12.700912868724028,0.302776831201114,0.0087131275972478,0.6444580693507732,0.3856637121549093,0.7359817525185326,0.7371026080335047,0.5452922802320392,0.5467561521252796,19.006541984027827,11.719354179440014,0.4121109829267426,0.0359016281763062,0.6969139587165338,0.3718722610510024,0.683074684772066,0.6822475175587309,0.5962045334739061,0.5943247503941146,0.0,False
