feature_set,numeric_feature_count,encoded_feature_count,best_iteration,train_rmse_ug_m3,train_mae_ug_m3,train_r2,train_bias_ug_m3,train_bucket_accuracy,train_bucket_f1_macro,train_usg_plus_recall,train_usg_plus_precision,train_unhealthy_plus_recall,train_unhealthy_plus_precision,val_rmse_ug_m3,val_mae_ug_m3,val_r2,val_bias_ug_m3,val_bucket_accuracy,val_bucket_f1_macro,val_usg_plus_recall,val_usg_plus_precision,val_unhealthy_plus_recall,val_unhealthy_plus_precision,test_rmse_ug_m3,test_mae_ug_m3,test_r2,test_bias_ug_m3,test_bucket_accuracy,test_bucket_f1_macro,test_usg_plus_recall,test_usg_plus_precision,test_unhealthy_plus_recall,test_unhealthy_plus_precision
enriched_full,74,81,150,12.356065234673538,8.403889759833655,0.626215789619381,-0.0020836529165537054,0.744366473434163,0.3124126204091917,0.679820150269183,0.6949921374138139,0.47118699720899687,0.694074969770254,18.244111498359413,11.07828594201007,0.47446213680788984,-2.3624988399073965,0.652428639553103,0.2824397351747872,0.7719064816574795,0.7410583941605839,0.3119143239625167,0.6873156342182891,16.11897739515745,10.254411700324278,0.5771716477763126,0.0559731390229507,0.7236187751209211,0.3075724938979834,0.768913676042677,0.6835524897607242,0.5782814971006853,0.6925505050505051
original_all_cities,29,36,109,13.039755886349662,8.762944951783682,0.5837066350471506,-0.004327308473995919,0.7370149210361912,0.29612406173404265,0.6646749097793291,0.6834357321004927,0.4432769660154326,0.6588579795021962,18.762888297309484,11.261501953574063,0.44414955010299517,-3.4222219999775803,0.6501124054772124,0.2687206625762184,0.7302794145599696,0.7657962926051425,0.24721106648817492,0.6764346764346765,16.331500388975144,10.314723762451399,0.5659484620751599,-0.6295529429013891,0.724095646842428,0.2996684702354245,0.728176527643065,0.7019635343618513,0.521876647337902,0.6981664315937941
raw_measurements,18,25,250,12.37226730123303,8.378768786121224,0.6252348871882636,0.00047398999927229617,0.7425067921951503,0.30926386067881206,0.6841389102526179,0.691461372877302,0.47447053029059266,0.6803201506591338,18.94771646328021,11.324510196158506,0.43314454554730086,-3.8703065567879387,0.6448668165406363,0.26235742834795167,0.7017677247671545,0.7642310080728628,0.22623828647925034,0.671523178807947,16.434709965015266,10.287200487403082,0.5604450081198127,-0.7581093858897796,0.7232781524627018,0.2979016362844455,0.7378758486905916,0.7052143684820394,0.4928835002635741,0.6936201780415431
