validation_rank,model,family,scope,horizon_hours,feature_set,train_rmse_ug_m3,train_mae_ug_m3,train_r2,train_bias_ug_m3,train_bucket_accuracy,train_bucket_f1_macro,train_usg_plus_recall,train_usg_plus_precision,train_unhealthy_plus_recall,train_unhealthy_plus_precision,val_rmse_ug_m3,val_mae_ug_m3,val_r2,val_bias_ug_m3,val_bucket_accuracy,val_bucket_f1_macro,val_usg_plus_recall,val_usg_plus_precision,val_unhealthy_plus_recall,val_unhealthy_plus_precision,test_rmse_ug_m3,test_mae_ug_m3,test_r2,test_bias_ug_m3,test_bucket_accuracy,test_bucket_f1_macro,test_usg_plus_recall,test_usg_plus_precision,test_unhealthy_plus_recall,test_unhealthy_plus_precision,val_generalization_gap_ug_m3,val_generalization_gap_pct,selected_within_original_suite,selection_metric
1,XGBoost,gradient boosted trees,All three cities,24,full_with_osm,12.866314261482628,8.645267489860226,0.5947072113392083,-8.68569791570798e-05,0.7390489473913612,0.3056856246630602,0.6791693782168846,0.683414692225265,0.4519783286816615,0.6712996830041453,18.155728033471178,11.095328679953084,0.4795417315810467,-2.01919336583392,0.6553579944137884,0.2888560727208493,0.7639232085154913,0.7408294930875576,0.3663543061133422,0.6768342951360263,16.042270822243232,10.285114813172548,0.5811863616973488,0.2538122131516054,0.7226650316779072,0.3070754019923323,0.7596993210475267,0.6799045138888888,0.5846072746441751,0.6905354919053549,5.289413771988549,41.11055943832537,True,Validation RMSE
2,SARIMAX,city-specific seasonal time series,All three cities,24,pollution_weather_8,14.260489017949824,9.38902706361444,0.5021145856929426,-0.0370685982312035,0.7216144357756178,0.2882523229596377,0.6537892681772467,0.6550293402880683,0.3815465440814316,0.6125461254612546,18.553699182830947,11.160072577964865,0.4564749091235472,-3.688063156562616,0.6575379794263915,0.2817599967287016,0.6787682950009504,0.7856985698569857,0.3248549754573851,0.6746987951807228,16.41267695688851,10.33738340834308,0.5616227869640427,-0.8432460496430476,0.7202806730703727,0.3044452961866999,0.7167798254122212,0.6960207205085943,0.4828676858197153,0.7375201288244766,4.293210164881122,30.105630735925075,False,Validation RMSE
3,LSTM,deep recurrent neural network,All three cities,24,sequence_48h_pollution_weather_city,14.277377321377273,9.673874315864524,0.5012934787308925,2.8655197057195285,0.7265170044258095,0.2948109696497497,0.6849323201139872,0.6553624176323563,0.6387287996048082,0.5252538930264049,18.620789173700256,11.40602183728868,0.4525370397282497,-3.748384400344413,0.6548129981606376,0.2746198768497573,0.6130013305455236,0.7984649665758852,0.3717090584560464,0.6363636363636364,16.068417624860412,10.379282187350045,0.579820026256591,0.4666962649518668,0.7315212207916071,0.302390345748947,0.7036857419980601,0.7193852255825484,0.5856615709014233,0.6766138855054811,4.343411852322983,30.421636653250506,False,Validation RMSE
