model,city,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3,bucket_accuracy,bucket_f1_macro,usg_plus_recall,usg_plus_precision,unhealthy_plus_recall,unhealthy_plus_precision
SARIMAX,Hà Nội,4893,25.33585740757512,18.48030228478735,0.3564212373987128,-3.086194189317417,0.4909053750255467,0.2546866778596854,0.8774150566289141,0.7159554226692035,0.5424443106562312,0.7355102040816327
SARIMAX,TP.HCM,4893,10.66040932110682,7.5955654483119375,0.278014602236752,0.1961485475626258,0.809319435928878,0.1990801377261679,0.2599531615925058,0.5091743119266054,0.0,0.0
SARIMAX,Đà Nẵng,4893,7.25106179831736,4.9362824919299575,0.485788711740454,0.3603074928256476,0.8606172082566932,0.2782117777558334,0.373134328358209,0.7575757575757576,0.2205882352941176,1.0
XGBoost,Hà Nội,4893,24.70276089813441,18.23080588839133,0.3881830822819522,-1.3976904409296695,0.504802779480891,0.2607518750272461,0.9043970686209194,0.7073996873371547,0.6592414208308248,0.691724573594441
XGBoost,TP.HCM,4893,10.433804358202869,7.382136050796743,0.3083824078971601,0.5276844133025855,0.8070713263846311,0.2091715786408791,0.3360655737704918,0.5017482517482518,0.0,0.0
XGBoost,Đà Nẵng,4893,7.278233990944347,5.242402500329563,0.4819276420251739,1.6314426670819009,0.8561209891681995,0.2699761637549678,0.4888059701492537,0.6616161616161617,0.2058823529411764,0.6363636363636364
LSTM,Hà Nội,4893,24.599313350509235,18.18183728429941,0.3932965542925918,-0.3194657083866469,0.5289188636828122,0.2699954114925293,0.8451032644903398,0.7501478415138971,0.6670680313064419,0.6764346764346765
LSTM,TP.HCM,4893,10.493072987677165,7.754617311597332,0.3005027027476668,1.468098111506403,0.8097281831187411,0.2097943774095736,0.3454332552693208,0.5202821869488536,0.0,0.0
LSTM,Đà Nẵng,4893,7.703981883384221,5.20139196615338,0.4195445422890621,0.2514563917358449,0.8559166155732679,0.2049083532878914,0.2611940298507462,0.8235294117647058,0.0441176470588235,0.75
