model,train_rmse_ug_m3,val_rmse_ug_m3,test_rmse_ug_m3,train_val_gap_ug_m3,diagnosis
XGBoost,12.866314261482628,18.155728033471178,16.042270822243232,5.289413771988549,clear_overfitting
SARIMAX,14.260489017949824,18.553699182830947,16.41267695688851,4.293210164881122,moderate_overfitting
LSTM,14.277377321377273,18.620789173700256,16.068417624860412,4.343411852322983,moderate_overfitting
