,precision,recall,f1-score,support
Good,0.0,0.0,0.0,298.0
Moderate,0.6462522851919561,0.9731589814177564,0.7767096951386981,1453.0
USG,0.2845528455284553,0.17632241813602015,0.2177293934681182,397.0
Unhealthy,0.6578947368421053,0.07836990595611286,0.1400560224089636,319.0
Very Unhealthy,0.0,0.0,0.0,5.0
Hazardous,0.0,0.0,0.0,0.0
accuracy,0.6104368932038835,0.6104368932038835,0.6104368932038835,0.6104368932038835
macro avg,0.26478331126041943,0.20464188425164823,0.18908251850263,2472.0
weighted avg,0.5104532650126782,0.6104368932038835,0.5095775191714526,2472.0
