,Good,Moderate,USG,Unhealthy,Very Unhealthy,Hazardous
Good,0,295,3,0,0,0
Moderate,0,1414,36,3,0,0
USG,0,319,70,8,0,0
Unhealthy,0,160,134,25,0,0
Very Unhealthy,0,0,3,2,0,0
Hazardous,0,0,0,0,0,0
