,Good,Moderate,USG,Unhealthy,Very Unhealthy,Hazardous
Good,147,1493,77,7,0,0
Moderate,35,7738,1037,118,0,0
USG,1,926,1044,275,0,0
Unhealthy,0,189,794,891,0,0
Very Unhealthy,0,0,13,32,0,0
Hazardous,0,0,0,0,0,0
