model,scope,train_rmse_ug_m3,val_rmse_ug_m3,test_rmse_ug_m3,test_mae_ug_m3,test_r2
XGBoost,All cities,11.551893473550594,18.898450583661337,16.418476731412316,10.210209640275854,0.5626360146518101
LSTM,All cities,16.692784603570896,24.63519309480729,20.89649681308456,12.561510911515258,0.265383407725467
SARIMAX,Hà Nội,4.720369470875401,26.396830927792514,26.0295185835378,19.115445116950397,0.3217028771429862
