epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.024813061580061913,0.1134953424334526,0.029779227450489998,0.12214910984039307,0.0010000000474974513
2,0.015522822737693787,0.08160994946956635,0.02270684577524662,0.09899850189685822,0.0010000000474974513
3,0.011445253156125546,0.06981551647186279,0.020216435194015503,0.09146042168140411,0.0010000000474974513
4,0.009693723171949387,0.06534813344478607,0.01874847710132599,0.08748070150613785,0.0010000000474974513
5,0.00849422812461853,0.06202974170446396,0.017649292945861816,0.08488654345273972,0.0010000000474974513
6,0.00767991179600358,0.06010475382208824,0.017930882051587105,0.08578043431043625,0.0010000000474974513
7,0.008056181482970715,0.06158154457807541,0.01661677472293377,0.08217715471982956,0.0010000000474974513
8,0.007034808397293091,0.05804732069373131,0.01617828942835331,0.08080224692821503,0.0010000000474974513
9,0.006832262966781855,0.05672893300652504,0.015147826634347439,0.07781167328357697,0.0010000000474974513
10,0.006417395547032356,0.05504667013883591,0.014483715407550335,0.07545779645442963,0.0010000000474974513
11,0.00621062284335494,0.054041098803281784,0.014007128775119781,0.07406910508871078,0.0010000000474974513
12,0.006046781782060862,0.05321827903389931,0.013700968585908413,0.07297816872596741,0.0010000000474974513
