model,split,rows,mean_horizon_rmse_ug_m3,mean_horizon_mae_ug_m3,global_rmse_ug_m3,global_mae_ug_m3,global_r2,global_bias_ug_m3
LSTM,test,352296,15.259916855850966,9.893818967752003,15.336944744617337,9.893818967752003,0.619100143745465,0.07598201444185423
LSTM,validation,352296,16.90167284846727,10.503458385249397,17.036844272992138,10.503458385249399,0.5408258192693955,-2.458232176288162
