city,horizon,rows,mean_residual_ug_m3,median_residual_ug_m3,mae_ug_m3,p90_abs_error_ug_m3
Hà Nội,1,4893,-0.4199092148516333,-0.0562694549560554,3.324273534018935,8.362383117675778
Hà Nội,2,4893,-0.9195954767102822,-0.131575965881348,6.241526575330185,15.265921936035154
Hà Nội,3,4893,-1.574906661089958,-0.325211143493652,8.928412502712934,21.89870376586914
Hà Nội,4,4893,-1.8094555274562651,0.015370559692382102,10.787594079103982,25.62579101562502
Hà Nội,5,4893,-2.118794350806321,0.16438674926757812,12.430782529373683,28.982222290039065
Hà Nội,6,4893,-2.8434205741402856,-0.014077758789063921,13.49051148931892,31.380057373046878
Hà Nội,7,4893,-3.142091931240363,0.13411865234375142,14.378717236671859,33.18151306152345
Hà Nội,8,4893,-3.5831753663336503,0.4807685852050767,15.377443908821602,34.80504791259766
Hà Nội,9,4893,-3.967534796728231,0.5504310607910128,15.864053948388957,35.60710998535156
Hà Nội,10,4893,-3.6965685651659497,1.1668167114257812,16.559938733085104,37.11218490600587
Hà Nội,11,4893,-3.928056651508542,1.0356735229492173,16.68535430724212,38.07076293945314
Hà Nội,12,4893,-3.529057277825233,1.5347976684570312,17.12513506386681,39.15327636718752
Hà Nội,13,4893,-3.153727009904036,2.071014404296875,17.36634025550342,39.41819137573243
Hà Nội,14,4893,-3.393496922863887,2.058900070190429,17.59850652442494,40.0527996826172
Hà Nội,15,4893,-3.3903951271457853,2.0586204528808594,17.85272159342529,40.26101928710939
Hà Nội,16,4893,-3.2392064423349622,2.181382751464845,17.967784337102817,40.292270812988285
Hà Nội,17,4893,-2.633261531655978,2.2897941589355497,17.85489569133273,39.83441802978516
Hà Nội,18,4893,-2.255945345747819,2.599252319335939,17.816311111816617,39.734631958007824
Hà Nội,19,4893,-1.9317977791838232,2.7005462646484375,18.009531137009184,40.26858108520509
Hà Nội,20,4893,-1.6379172437205136,2.926655960083007,18.101054584831395,39.64203857421875
Hà Nội,21,4893,-1.5572690769229078,3.3339897155761733,18.207929967104135,39.69593948364259
Hà Nội,22,4893,-1.7165764889540711,3.2978981018066413,18.204868290533007,40.01707504272461
Hà Nội,23,4893,-1.7986577797832601,3.0045555114746065,18.169387010004826,40.2166311645508
Hà Nội,24,4893,-1.4642389336076707,2.9264919281005817,18.103970788316005,40.346868743896486
