model,split,mean_horizon_rmse_ug_m3,mean_horizon_mae_ug_m3,global_rmse_ug_m3,global_mae_ug_m3,global_r2,global_bias_ug_m3
LSTM,test,15.259916855850966,9.893818967752004,15.336944744617337,9.893818967752003,0.619100143745465,0.07598201444185457
LSTM,validation,16.90167284846727,10.503458385249397,17.036844272992138,10.503458385249399,0.5408258192693955,-2.458232176288162
SARIMAX,test,16.007236466399707,9.847911110941176,16.36716793752411,9.847911110941173,0.5662093568324571,-0.5464737334056288
SARIMAX,validation,17.76418164927645,10.989858513021703,18.185878455158896,10.989858513021701,0.4768000176070827,-1.4653795819770357
XGBoost,test,14.01252198196599,8.910852071917368,14.38441035590196,8.91085207191737,0.6649441299479857,-0.2884064127300412
XGBoost,validation,15.851590269170392,9.763920587504552,16.270425574019015,9.763920587504556,0.5812093493872732,-1.8244053261494781
