city,intercept,ar_l1,seasonal_ar_l24,aic,converged,fit_end
Hà Nội,0.8387752385413029,0.9678011494410452,0.3897643068511373,144725.93175312952,True,2025-03-25T05:00:00
TP.HCM,0.9442574457383652,0.9401016359101603,0.35965672296643514,125290.64216680103,True,2025-03-25T05:00:00
Đà Nẵng,0.4965214177216619,0.9573790312096462,0.39190502047187853,104045.23287397614,True,2025-03-25T05:00:00
