model,split,city,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
SARIMAX,test,Hà Nội,117432,25.353867528259453,17.71981947616982,0.35936894111522066,-1.5571542917870769
SARIMAX,test,TP.HCM,117432,10.60009259628055,7.265786898952804,0.2871800417961391,-0.3833601431323461
SARIMAX,test,Đà Nẵng,117432,6.962183364082036,4.558126957700901,0.526573870799482,0.30109323470253657
SARIMAX,validation,Hà Nội,117432,26.154597407733572,17.421226422805567,0.22771490306540942,-1.702575826650155
SARIMAX,validation,TP.HCM,117432,14.73498693383401,9.855388467152181,0.33349972361137825,-2.599189712359813
SARIMAX,validation,Đà Nẵng,117432,9.539167681540913,5.692960649107359,0.48002654011859724,-0.09437320692113978
