,precision,recall,f1-score,support
Good,0.0,0.0,0.0,551.0
Moderate,0.8351338656646313,0.8886445421831267,0.8610586469078406,10004.0
USG,0.3745819397993311,0.40233497979344407,0.3879627625027062,2227.0
Unhealthy,0.5797807551766139,0.5515643105446119,0.5653206650831354,1726.0
Very Unhealthy,0.0,0.0,0.0,171.0
Hazardous,0.0,0.0,0.0,0.0
accuracy,0.7315212207916071,0.7315212207916071,0.7315212207916071,0.7315212207916071
macro avg,0.29824942677342936,0.30709063875353043,0.302390345748947,14679.0
weighted avg,0.6941600078668109,0.7315212207916071,0.7121579973903573,14679.0
