actual,Good,Moderate,USG,Unhealthy,Very Unhealthy,Hazardous
Good,0,533,17,1,0,0
Moderate,0,8890,944,170,0,0
USG,0,971,896,360,0,0
Unhealthy,0,249,525,952,0,0
Very Unhealthy,0,2,10,159,0,0
Hazardous,0,0,0,0,0,0
