,Good,Moderate,USG,Unhealthy,Very Unhealthy,Hazardous
Good,0,519,24,8,0,0
Moderate,0,8588,1259,157,0,0
USG,0,788,1097,342,0,0
Unhealthy,0,178,593,955,0,0
Very Unhealthy,0,0,18,153,0,0
Hazardous,0,0,0,0,0,0
