horizon,coverage,mean_width_ug_m3
1,0.9272430002043736,12.431012032936543
2,0.9271067511410859,20.834062566511292
3,0.9248586415968391,28.011479481615154
4,0.9251311397234144,33.027163435157455
5,0.9256080114449213,37.029922697743714
6,0.9241092717487567,39.73120136909697
7,0.925335513318346,42.06564131488965
8,0.9246542680019075,43.31876605492098
9,0.9241773962804005,43.93042093834149
10,0.9212480414197153,44.8047233796979
11,0.9215205395462907,44.912463418965906
12,0.9214524150146468,45.54693987043558
13,0.9194086790653314,45.8677664537051
14,0.9193405545336876,46.41841265479407
15,0.9192043054703999,47.20921442158029
16,0.9207711696982083,47.234792998110095
17,0.9228830301791675,47.23198225422998
18,0.924449894406976,46.960038260379285
19,0.9241092717487567,46.75854882647584
20,0.9256080114449213,47.238484206902285
21,0.9234961509639621,46.76206790836495
22,0.9271067511410859,47.394324832037626
23,0.9279242455208121,47.38808877839568
24,0.9290823625587574,47.40824580576855
