round,train_rmse,val_rmse
1,19.84265327182713,25.445873767647086
2,19.49933999422159,25.094560226105028
3,19.172495244693334,24.69726349506485
4,18.86783746960527,24.376006842018867
5,18.579536010871315,24.082334904614246
6,18.311147656545188,23.752717088938432
7,18.053801020560243,23.436135714961548
8,17.809884829902668,23.13656177741493
9,17.58479010633122,22.864216224965308
10,17.364857937426418,22.617259968494636
11,17.164605472183798,22.44316222989239
12,16.972301198814264,22.241842206632235
13,16.790809222279456,22.01991937891479
14,16.624626148856844,21.842852740694322
15,16.46599174970438,21.64339982587598
16,16.313227406543177,21.466289332506573
17,16.171586030032692,21.31364390898378
18,16.0378153027544,21.147096847795492
19,15.908469800463111,21.000539819273552
20,15.788314272834677,20.87223442936082
21,15.67823964950485,20.760290510269368
22,15.571062310100011,20.644708209333636
23,15.468354971592118,20.515267168586007
24,15.372422067878952,20.373068787286112
25,15.283125818903345,20.249350030189564
26,15.19931569616735,20.152482314741203
27,15.122316309055796,20.044717722610972
28,15.044363663297453,19.963596697273854
29,14.97218502872038,19.88589592688083
30,14.90721738599144,19.82065264537414
31,14.843935198675306,19.76156680752577
32,14.782020825516815,19.702062333649383
33,14.727314310210087,19.632881823081682
34,14.672245361954376,19.582340333684805
35,14.620772848220703,19.528057591827068
36,14.574038237726699,19.475074236003177
37,14.529416180429664,19.4393713686966
38,14.488593890375203,19.39244607287253
39,14.448208583896191,19.327539834347178
40,14.408442355612982,19.274761661519726
41,14.371308771945165,19.240018949802852
42,14.337382055824682,19.197914150342203
43,14.304707283683141,19.17072262841174
44,14.272630329640165,19.125876073577228
45,14.24372803642742,19.090881872637045
46,14.213546416006782,19.057711252673347
47,14.186904482911245,19.01576301023351
48,14.1605939684937,18.979948692624053
49,14.137119321289275,18.956498403724602
50,14.115475194595886,18.932349375888172
51,14.093570259624887,18.89132873629869
52,14.07179841907157,18.862272319189895
53,14.050214736314606,18.830842942763837
54,14.02888623452761,18.80641737641025
55,14.00881367028276,18.782038074508197
56,13.988726191183362,18.764400396167957
57,13.970069901137327,18.739235860689625
58,13.95329673210375,18.71519535337267
59,13.93603543492318,18.69825451912002
60,13.919116796679587,18.68214612016043
61,13.901760837463126,18.65715754452504
62,13.884976948766074,18.63728312450449
63,13.87066016144254,18.629276314339258
64,13.857344877646202,18.61245444048204
65,13.843789201299249,18.59628684848012
66,13.829221477082578,18.57681223006236
67,13.815691001929087,18.56065378898566
68,13.802721241496858,18.545515540508266
69,13.78968591343362,18.521591439081035
70,13.778850986623045,18.508889765684785
71,13.767095620350867,18.49145031738829
72,13.7543932764924,18.48106827411586
73,13.742467820214424,18.469454912939735
74,13.730350778933603,18.459760405845508
75,13.718889757042044,18.459782851091983
76,13.708642580890182,18.44483517759206
77,13.694778609180899,18.4229611015468
78,13.68201580969277,18.412619476442103
79,13.670286892002801,18.40591543298384
80,13.656840395868771,18.401007702842733
81,13.647906845162709,18.39500512977203
82,13.637237459157863,18.394519876301636
83,13.626424041245857,18.38849143330893
84,13.615529931608867,18.385456719563
85,13.604821712093443,18.378182604055297
86,13.594745045457604,18.366953820237477
87,13.585720231645615,18.365986855531087
88,13.576712934350606,18.367687100603803
89,13.569046899955845,18.362923475603203
90,13.559198445964627,18.364468955491702
91,13.548046732063547,18.3392056914516
92,13.538816866897474,18.314734139530128
93,13.531412256925337,18.308275390155885
94,13.522902169557861,18.28554310506305
95,13.51346118239501,18.281077191091946
96,13.504186924944976,18.27925808229346
97,13.494729975236421,18.268435666431554
98,13.486074382271061,18.270921967056726
99,13.479267861993764,18.261450218454566
100,13.472873155438064,18.25017208260061
101,13.464894903560237,18.247153176570755
102,13.455389835878718,18.22459719962663
103,13.447971760726668,18.221044081022676
104,13.44191653392636,18.215922323717972
105,13.434674962756198,18.216544105370517
106,13.427471621351321,18.217069309799506
107,13.42201550263232,18.216928579347453
108,13.41453884901565,18.217183797837865
109,13.405597785106599,18.195057392711597
110,13.399188771369937,18.18654356446404
111,13.394006893317012,18.182695512255272
112,13.389344574727312,18.17967216910752
113,13.381805908583933,18.173894415641758
114,13.373603822408827,18.179812970465424
115,13.36515582370825,18.17942686747568
116,13.357200170852712,18.159683908142096
117,13.351235854163006,18.160371554706725
118,13.346766917683617,18.156118553504974
119,13.340104718708698,18.15695807797185
120,13.331565136756607,18.150282643714185
