,precision,recall,f1-score,support
Good,0.0,0.0,0.0,551.0
Moderate,0.8525761937853669,0.8584566173530588,0.8555063007421427,10004.0
USG,0.36676696756937477,0.49259092950157163,0.4204676121119203,2227.0
Unhealthy,0.5913312693498453,0.5533024333719583,0.5716851242143071,1726.0
Very Unhealthy,0.0,0.0,0.0,171.0
Hazardous,0.0,0.0,0.0,0.0
accuracy,0.7248450166905103,0.7248450166905103,0.7248450166905103,0.7248450166905103
macro avg,0.3017790717840978,0.3173916633710981,0.30794317284472833,14679.0
weighted avg,0.706219773165995,0.7248450166905103,0.7140537454316734,14679.0
