round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
1,68829,19.84265327182713,25.44587376764709
2,68829,19.49933999422159,25.094560226105028
3,68829,19.172495244693334,24.69726349506485
4,68829,18.86783746960527,24.376006842018867
5,68829,18.579536010871315,24.08233490461425
6,68829,18.311147656545188,23.752717088938432
7,68829,18.053801020560243,23.436135714961548
8,68829,17.809884829902668,23.13656177741493
9,68829,17.58479010633122,22.864216224965308
10,68829,17.364857937426418,22.61725996849464
11,68829,17.164605472183798,22.44316222989239
12,68829,16.972301198814264,22.241842206632235
13,68829,16.790809222279456,22.01991937891479
14,68829,16.624626148856844,21.84285274069432
15,68829,16.46599174970438,21.64339982587598
16,68829,16.313227406543177,21.466289332506573
17,68829,16.171586030032692,21.31364390898378
18,68829,16.0378153027544,21.14709684779549
19,68829,15.908469800463113,21.000539819273552
20,68829,15.788314272834675,20.87223442936082
21,68829,15.67823964950485,20.760290510269368
22,68829,15.571062310100013,20.64470820933364
23,68829,15.468354971592118,20.515267168586007
24,68829,15.372422067878952,20.373068787286112
25,68829,15.283125818903343,20.249350030189564
26,68829,15.19931569616735,20.152482314741203
27,68829,15.122316309055796,20.04471772261097
28,68829,15.044363663297451,19.963596697273854
29,68829,14.97218502872038,19.88589592688083
30,68829,14.90721738599144,19.82065264537414
31,68829,14.843935198675306,19.76156680752577
32,68829,14.782020825516817,19.702062333649383
33,68829,14.727314310210089,19.63288182308168
34,68829,14.672245361954376,19.582340333684805
35,68829,14.620772848220705,19.528057591827068
36,68829,14.5740382377267,19.475074236003177
37,68829,14.529416180429664,19.4393713686966
38,68829,14.488593890375205,19.39244607287253
39,68829,14.448208583896191,19.327539834347174
40,68829,14.408442355612982,19.27476166151973
41,68829,14.371308771945165,19.24001894980285
42,68829,14.337382055824682,19.197914150342203
43,68829,14.30470728368314,19.17072262841174
44,68829,14.272630329640164,19.125876073577228
45,68829,14.24372803642742,19.090881872637045
46,68829,14.213546416006782,19.057711252673347
47,68829,14.186904482911244,19.01576301023351
48,68829,14.1605939684937,18.979948692624053
49,68829,14.137119321289276,18.9564984037246
50,68829,14.115475194595886,18.93234937588817
51,68829,14.093570259624888,18.89132873629869
52,68829,14.07179841907157,18.86227231918989
53,68829,14.050214736314606,18.83084294276384
54,68829,14.02888623452761,18.80641737641025
55,68829,14.00881367028276,18.7820380745082
56,68829,13.988726191183362,18.76440039616796
57,68829,13.970069901137329,18.739235860689625
58,68829,13.95329673210375,18.71519535337267
59,68829,13.93603543492318,18.69825451912002
60,68829,13.919116796679589,18.68214612016043
61,68829,13.901760837463126,18.65715754452504
62,68829,13.884976948766074,18.63728312450449
63,68829,13.87066016144254,18.629276314339258
64,68829,13.857344877646202,18.61245444048204
65,68829,13.843789201299249,18.59628684848012
66,68829,13.829221477082578,18.57681223006236
67,68829,13.815691001929087,18.56065378898566
68,68829,13.802721241496858,18.545515540508266
69,68829,13.78968591343362,18.521591439081035
70,68829,13.778850986623045,18.508889765684785
71,68829,13.767095620350869,18.49145031738829
72,68829,13.7543932764924,18.48106827411586
73,68829,13.742467820214424,18.46945491293973
74,68829,13.730350778933603,18.459760405845508
75,68829,13.718889757042044,18.459782851091983
76,68829,13.708642580890182,18.44483517759206
77,68829,13.6947786091809,18.4229611015468
78,68829,13.68201580969277,18.412619476442103
79,68829,13.6702868920028,18.40591543298384
80,68829,13.656840395868771,18.401007702842733
81,68829,13.647906845162709,18.39500512977203
82,68829,13.637237459157864,18.39451987630164
83,68829,13.626424041245857,18.38849143330893
84,68829,13.615529931608869,18.385456719563
85,68829,13.604821712093443,18.378182604055297
86,68829,13.594745045457604,18.36695382023748
87,68829,13.585720231645617,18.365986855531087
88,68829,13.576712934350606,18.367687100603803
89,68829,13.569046899955843,18.362923475603203
90,68829,13.559198445964627,18.364468955491706
91,68829,13.548046732063549,18.3392056914516
92,68829,13.538816866897474,18.314734139530128
93,68829,13.531412256925336,18.308275390155885
94,68829,13.52290216955786,18.28554310506305
95,68829,13.51346118239501,18.281077191091946
96,68829,13.504186924944976,18.27925808229346
97,68829,13.49472997523642,18.268435666431557
98,68829,13.48607438227106,18.27092196705673
99,68829,13.479267861993764,18.261450218454566
100,68829,13.472873155438064,18.25017208260061
101,68829,13.464894903560236,18.247153176570755
102,68829,13.455389835878718,18.22459719962663
103,68829,13.447971760726668,18.22104408102268
104,68829,13.44191653392636,18.21592232371797
105,68829,13.434674962756198,18.21654410537052
106,68829,13.42747162135132,18.217069309799506
107,68829,13.42201550263232,18.216928579347453
108,68829,13.41453884901565,18.217183797837865
109,68829,13.4055977851066,18.1950573927116
110,68829,13.399188771369936,18.18654356446404
111,68829,13.394006893317012,18.182695512255272
112,68829,13.389344574727312,18.17967216910752
113,68829,13.381805908583932,18.17389441564176
114,68829,13.373603822408828,18.179812970465424
115,68829,13.36515582370825,18.17942686747568
116,68829,13.357200170852712,18.159683908142096
117,68829,13.351235854163006,18.160371554706725
118,68829,13.346766917683617,18.15611855350497
119,68829,13.340104718708698,18.15695807797185
120,68829,13.331565136756607,18.150282643714185
121,68829,13.325225397045642,18.151116886362303
122,68829,13.31670162669277,18.15361078269428
123,68829,13.310420000326802,18.15754870873743
124,68829,13.303969946710565,18.160861682743853
125,68829,13.29644378763357,18.153941600328857
126,68829,13.290926581224385,18.15030179162192
127,68829,13.283667494332738,18.151398618268992
128,68829,13.276870050341095,18.148290725784808
129,68829,13.269117125864554,18.15185996049532
130,68829,13.26456269617062,18.15013500898277
