epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,0.6684063673019409,0.5519142746925354,0.8142819404602051,1.1243970394134521,0.6439111232757568,1.0579370260238647,0.0010000000474974513
2,0.5549856424331665,0.5025472044944763,0.741506814956665,1.0001544952392578,0.605466902256012,0.9975524544715881,0.0010000000474974513
3,0.5163319706916809,0.4825610816478729,0.7150223851203918,0.9421926736831665,0.5862746238708496,0.968084990978241,0.0010000000474974513
4,0.4867704510688782,0.4656003713607788,0.6940972805023193,0.8921945691108704,0.5868471264839172,0.9419527053833008,0.0010000000474974513
5,0.46792182326316833,0.45731088519096375,0.6804584264755249,0.8051102161407471,0.5561608076095581,0.8945935964584351,0.0010000000474974513
6,0.4532315731048584,0.4500052332878113,0.6696714758872986,0.7919160723686218,0.5516258478164673,0.887252926826477,0.0010000000474974513
7,0.4420469403266907,0.44357582926750183,0.6613548994064331,0.724988579750061,0.5282695889472961,0.8487666249275208,0.0010000000474974513
8,0.4326723515987396,0.43719789385795593,0.6543227434158325,0.7505309581756592,0.5430341958999634,0.8637600541114807,0.0010000000474974513
9,0.42475637793540955,0.4338395893573761,0.6483252048492432,0.7230984568595886,0.5251275897026062,0.847775936126709,0.0010000000474974513
10,0.41846075654029846,0.42994919419288635,0.6435327529907227,0.7207634449005127,0.5345463156700134,0.8464735150337219,0.0010000000474974513
11,0.41126948595046997,0.42623940110206604,0.638003945350647,0.7138041853904724,0.5193564295768738,0.8424077033996582,0.0010000000474974513
12,0.40277794003486633,0.4223971962928772,0.6313732862472534,0.7404052019119263,0.5412355065345764,0.8580912351608276,0.0010000000474974513
13,0.4052911102771759,0.42271140217781067,0.6334268450737,0.7249111533164978,0.5185166597366333,0.8490539193153381,0.0010000000474974513
14,0.3963312804698944,0.4190002977848053,0.6263651251792908,0.7174182534217834,0.5260949730873108,0.8446750640869141,0.0010000000474974513
15,0.38859981298446655,0.4139103889465332,0.6202298998832703,0.7359337210655212,0.5245721340179443,0.8556142449378967,0.0010000000474974513
16,0.3824296295642853,0.4113337993621826,0.6153039932250977,0.7386190295219421,0.5260860323905945,0.8572317361831665,0.0010000000474974513
17,0.37118205428123474,0.4054158627986908,0.6061349511146545,0.7310833930969238,0.5281988382339478,0.8528276085853577,0.0005000000237487257
18,0.3697021007537842,0.40427055954933167,0.6049384474754333,0.7280189990997314,0.528178334236145,0.8510462641716003,0.0005000000237487257
19,0.3647613525390625,0.40186744928359985,0.6008680462837219,0.7223116159439087,0.5279369950294495,0.8477043509483337,0.0005000000237487257
20,0.36513552069664,0.40081408619880676,0.6011872291564941,0.7253552675247192,0.5324824452400208,0.8494948148727417,0.0005000000237487257
21,0.3601481020450592,0.3993467092514038,0.5970656275749207,0.7156346440315247,0.524747908115387,0.8437869548797607,0.0005000000237487257
