model,split,city,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
LSTM,test,Hà Nội,117432,23.280296648918554,16.44009090887525,0.4598721430377589,-5.091752490936244
LSTM,test,TP.HCM,117432,10.79916698368464,8.419504194050445,0.26015448391019025,4.292298382729794
LSTM,test,Đà Nẵng,117432,6.860860200819081,4.821861800330318,0.5402534811115255,1.0274001515320144
LSTM,validation,Hà Nội,117432,23.848373799480893,15.33174196052831,0.3579052547302657,-6.456246556086748
LSTM,validation,TP.HCM,117432,14.492655276610133,10.11397935822936,0.3552419872884621,-1.5561570598218464
LSTM,validation,Đà Nẵng,117432,9.590630766541507,6.064653836990526,0.47440097155155136,0.6377070870441055
