selection_rank,model,cv_mean_rmse_ug_m3,cv_std_rmse_ug_m3,cv_worst_fold_rmse_ug_m3,cv_mean_mae_ug_m3,cv_mean_rank,fold_wins,cv_se_rmse_ug_m3,cv_ci95_low_ug_m3,cv_ci95_high_ug_m3
1,XGBoost,15.80127110070488,1.3239402820095947,18.084111666459687,9.763671733460551,1.0,5,0.5920840937447391,14.157382116761825,17.445160084647938
2,LSTM,16.78737263046926,2.1603237349632374,20.63052293815939,10.503051447831275,2.2,0,0.9661261449568075,14.104976424300313,19.469768836638206
3,SARIMAX,17.6908387238253,1.6516681633580923,20.252635041651725,10.98968315435863,2.8,0,0.7386484579081843,15.64002182840422,19.74165561924638
