model,split,horizon,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
SARIMAX,test,1,14679,4.935753200230396,2.7567977416825764,0.9605959921248396,-0.05793601364646403
SARIMAX,test,2,14679,8.219294968154097,4.765352821296863,0.8907453092971467,-0.11379260030696989
SARIMAX,test,3,14679,10.75433202737709,6.334891566316724,0.812955664180311,-0.16657312442808941
SARIMAX,test,4,14679,12.696081045206597,7.56315880482908,0.7392899498430276,-0.21618803702793252
SARIMAX,test,5,14679,14.189360503480872,8.536625041118397,0.6743242652897561,-0.2639991503690894
SARIMAX,test,6,14679,15.341665423068314,9.299417468841188,0.6192499676171654,-0.30998149887381643
SARIMAX,test,7,14679,16.22188163505179,9.896465383175403,0.5742872630353086,-0.3559756197289922
SARIMAX,test,8,14679,16.86915149418265,10.35339604870551,0.5396138999738602,-0.40085011657741804
SARIMAX,test,9,14679,17.333992042446575,10.672116425582436,0.5138706885501035,-0.4441884077283755
SARIMAX,test,10,14679,17.652364696709384,10.89135834888538,0.4958304688472325,-0.48583965511932287
SARIMAX,test,11,14679,17.867148830364627,11.036964066063584,0.4834713675426635,-0.5264420555415947
SARIMAX,test,12,14679,18.026367680531514,11.154569472815306,0.4742065258112531,-0.5657655887356863
SARIMAX,test,13,14679,18.167742094207302,11.260437983939818,0.465902996433875,-0.6037844086733211
SARIMAX,test,14,14679,18.241974570499053,11.325608376478705,0.46151013243162486,-0.6403921869115081
SARIMAX,test,15,14679,18.237227726454982,11.339117368559515,0.46177576122843245,-0.6750065297746297
SARIMAX,test,16,14679,18.153090604204344,11.295289646950263,0.4666462017472929,-0.7065942200111022
SARIMAX,test,17,14679,18.024686693022616,11.21936161405599,0.4740756571728405,-0.7364509184418827
SARIMAX,test,18,14679,17.877151099482667,11.125733074690686,0.4824964731672443,-0.7644720475622434
SARIMAX,test,19,14679,17.73516494820342,11.02961042694571,0.490433568557186,-0.7904065806855644
SARIMAX,test,20,14679,17.618982857481534,10.942870383959862,0.4968193234970658,-0.8155421828790166
SARIMAX,test,21,14679,17.53700281968775,10.881146575467977,0.5010438032823439,-0.8384686443095497
SARIMAX,test,22,14679,17.489056624350994,10.861674065147076,0.5032561274420682,-0.8594306062036141
SARIMAX,test,23,14679,17.477982384574695,10.877559704036297,0.5033726974244108,-0.8793408819965165
SARIMAX,test,24,14679,17.506219224619773,10.930344253043868,0.5012603989191013,-0.8979485262023909
SARIMAX,validation,1,14679,5.449777217925237,3.201708596275554,0.952976024184917,-0.16665169794822013
SARIMAX,validation,2,14679,8.934653349160852,5.458593948576092,0.8736099593706645,-0.32379886341575687
SARIMAX,validation,3,14679,11.625398617738183,7.224458897070289,0.7860268935806316,-0.4732186031516845
SARIMAX,validation,4,14679,13.739756548660349,8.604900636877078,0.7011314459063589,-0.6150999778979073
SARIMAX,validation,5,14679,15.419685210144761,9.693349954852719,0.6236058573255152,-0.7509810744850534
SARIMAX,validation,6,14679,16.738471339949044,10.53339178144868,0.5564850577802491,-0.8796722741748473
SARIMAX,validation,7,14679,17.779724381151407,11.212560279824933,0.4996035996807269,-1.001651808235775
SARIMAX,validation,8,14679,18.60356558902541,11.73556988156457,0.45216635445330755,-1.1175203641743283
SARIMAX,validation,9,14679,19.248669109917113,12.149613762263064,0.41352054572203767,-1.2277994780787653
SARIMAX,validation,10,14679,19.719725498898438,12.423944291245643,0.38448467177198553,-1.3325771034832996
SARIMAX,validation,11,14679,20.03574803960492,12.603393357022886,0.3646325072777109,-1.4322696472516656
SARIMAX,validation,12,14679,20.216315101683527,12.703568491884536,0.3531801957749231,-1.5269020254823205
SARIMAX,validation,13,14679,20.29896516721872,12.728449472851578,0.34794822145275606,-1.6163948840596343
SARIMAX,validation,14,14679,20.310768644873868,12.69513326169768,0.3472569653344433,-1.7008268902617931
SARIMAX,validation,15,14679,20.260286442405402,12.598995002895816,0.35056214704493993,-1.7815639008538267
SARIMAX,validation,16,14679,20.169573488213945,12.461560909576518,0.3564215324004384,-1.8598950232933478
SARIMAX,validation,17,14679,20.057916810226747,12.32409114441046,0.3636079826067543,-1.9353763515509272
SARIMAX,validation,18,14679,19.93571814926037,12.181055555276224,0.3714712872251491,-2.008440417087243
SARIMAX,validation,19,14679,19.808274005056134,12.042372352711736,0.37964092476084776,-2.078384103422471
SARIMAX,validation,20,14679,19.69529920270708,11.926327583413583,0.3869031394649012,-2.1456313655454586
SARIMAX,validation,21,14679,19.608550505516963,11.833481665850158,0.3925052047899499,-2.209879970944153
SARIMAX,validation,22,14679,19.559017864804975,11.794216160089311,0.3957378485326477,-2.27089904822366
SARIMAX,validation,23,14679,19.551776033434077,11.794356540099077,0.39631069972249955,-2.3289648175957702
SARIMAX,validation,24,14679,19.572723265057224,11.831510784742688,0.39513133463951167,-2.3847102768309494
