datetime,pm25,pm10,o3,no2,so2,co,city,temp,humidity,wind_speed,wind_dir,precip,pressure,cloud_cover,factories_2km,factories_5km,factories_10km,month,hour,day_of_week,is_weekend,day_of_year,season,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_roll_6h,pm25_roll_24h,pm25_roll_72h,pm25_lag_48h,pm25_lag_72h,pm25_lag_96h,pm25_lag_120h,pm25_lag_144h,pm25_lag_168h,pm25_std_6h,pm25_roll_12h,pm25_std_12h,pm25_std_24h,pm25_std_72h,pm25_roll_168h,pm25_std_168h,pm25_min_24h,pm25_max_24h,pm25_delta_1h,pm25_delta_3h,pm25_delta_24h,pm25_roll_ratio_6h_24h,pm25_roll_ratio_24h_72h,pm25_same_hour_mean_7d,pm25_same_hour_median_7d,pm25_same_hour_std_7d,pm25_same_hour_min_7d,pm25_same_hour_max_7d,pm25_same_hour_ratio_7d,pm25_weekly_delta,wind_x,wind_y,ventilation_index,humid_stagnation,rain_flag,calm_wind,high_humidity,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,pm25_pm10_ratio,no2_co_ratio,factory_density_2km,factory_density_5km,factory_density_10km
2026-04-10 00:00:00,51.8,55.2,69.0,32.2,19.0,652.0,Hà Nội,26.9,83.164215,8.643749,121.372955,0.0,1003.9563,0.0,3,57,179,4,0,4,0,100,Xuân,55.9,63.3,72.6,65.7,39.8,61.91666666666666,55.8125,83.3138888888889,88.2,108.3,87.5,66.1,60.8,51.1,8.087871578275665,67.08333333333333,7.927378717670129,14.88609834419422,35.884632457855375,88.99107142857143,34.12639561815741,31.8,75.7,-4.100000000000001,-11.5,12.0,1.1093691675998507,0.6699063114726769,71.78571428571429,66.1,23.892776354052327,39.8,108.3,0.721592039800995,0.6999999999999957,0.8537966313824615,-0.5206066770989026,1.45524299757965,8.623639520273702,0,0,0,0.0,1.0,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9384057971014492,0.0493865030674846,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 01:00:00,49.8,53.1,70.0,30.2,16.8,573.0,Hà Nội,26.95,87.256454,11.144021,121.122406,0.0,1003.2574,0.0,3,57,179,4,1,4,0,100,Xuân,51.8,60.1,75.0,67.5,39.3,57.71666666666666,56.25,82.48194444444444,84.5,109.7,87.3,66.4,47.3,54.5,6.274843955563178,65.60833333333333,9.360017320628444,14.52972964229685,35.9585650686966,88.96309523809524,34.1567530597333,31.8,75.7,-2.0,-10.300000000000004,10.5,1.026074074074074,0.6819674339501912,69.18571428571428,66.4,25.689714450951545,39.3,109.7,0.7198017757588272,-4.700000000000003,0.8560650243979875,-0.516868139860132,1.4201434423846595,7.185136949285579,0,0,1,0.2588190451025207,0.9659258262890684,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9378531073446328,0.0527050610820244,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 02:00:00,49.9,53.3,68.0,29.6,16.0,523.0,Hà Nội,26.6,87.74957,9.807935,132.76881,0.0,1002.65686,0.0,3,57,179,4,2,4,0,100,Xuân,49.8,55.9,65.4,70.3,38.4,55.13333333333333,56.72916666666666,81.63194444444444,79.9,111.1,88.7,67.5,44.0,58.1,5.637257016196849,63.90833333333333,10.241489445420092,14.098704200915307,35.99586762819768,88.91428571428571,34.20694205152795,31.8,75.7,0.1000000000000014,-6.0,11.5,0.9718692618435548,0.6949383241173969,68.49999999999999,67.5,26.476341640541403,38.4,111.1,0.7284671532846717,-8.200000000000003,0.734099622004581,-0.6790417844085379,1.2015142116204995,8.118994979151891,0,0,1,0.4999999999999999,0.8660254037844387,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9362101313320824,0.0565965583173996,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 03:00:00,52.0,55.6,66.0,29.7,15.9,499.0,Hà Nội,26.35,88.256,7.5105524,135.97093,0.0,1002.35626,0.0,3,57,179,4,3,4,0,100,Xuân,49.9,51.8,63.3,72.9,36.1,53.25,57.39166666666667,80.79861111111111,75.9,112.0,91.3,69.6,47.7,61.5,4.018332987693871,62.16666666666666,10.349908504941297,13.445636650137336,35.97744008718405,88.85773809523809,34.2603426352947,31.8,75.7,2.1000000000000014,0.2000000000000028,15.9,0.9278350515463916,0.710305113880533,69.22857142857143,69.6,26.51727199931611,36.1,112.0,0.751134956665291,-9.5,0.6950232504634414,-0.7189872608852207,0.882039273856,10.370184666273836,0,0,1,0.7071067811865476,0.7071067811865476,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.935251798561151,0.0595190380761523,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 04:00:00,54.7,58.4,63.0,30.2,16.5,540.0,Hà Nội,25.75,89.81293,4.198285,120.96369,0.0,1002.5535,0.0,3,57,179,4,4,4,0,100,Xuân,52.0,49.8,60.1,74.5,32.9,52.35,58.3,79.99027777777778,72.4,112.9,93.1,72.4,55.9,63.3,2.492187793884373,60.51666666666667,9.766811458232464,12.416083538490057,35.89976326856008,88.80654761904762,34.30515427113674,31.8,75.7,2.700000000000003,4.900000000000006,21.800000000000004,0.8979416809605487,0.728838574132273,70.61428571428571,72.4,26.43296102542105,32.9,112.9,0.7746307910176007,-8.599999999999994,0.8574935231463622,-0.5144947597031861,0.4276822317495002,17.277415532238035,0,0,1,0.8660254037844386,0.5000000000000001,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9366438356164384,0.0559259259259259,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 05:00:00,56.1,59.8,55.0,31.5,17.5,708.0,Hà Nội,25.6,89.53236,5.1575575,119.24873,0.0,1003.15247,0.0,3,57,179,4,5,4,0,100,Xuân,54.7,49.9,55.9,75.7,31.8,52.38333333333333,59.3125,79.19722222222224,69.8,113.2,93.4,74.7,57.7,65.2,2.549836596069053,58.883333333333326,8.561311850769144,11.080037376329187,35.78631405810629,88.75238095238095,34.34980663488394,32.5,75.7,1.3999999999999986,6.200000000000003,24.3,0.883175272216368,0.7489214689067376,70.95714285714284,69.8,26.56205671899029,31.8,113.2,0.7906180793235356,-9.1,0.8725068374812733,-0.4886019019083193,0.5398745518930002,14.540239372510934,0,0,1,0.9659258262890684,0.2588190451025207,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9381270903010034,0.0444915254237288,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 06:00:00,57.7,61.5,47.0,33.3,19.2,941.0,Hà Nội,25.3,90.323204,6.8919086,130.76352,0.0,1003.85046,0.0,3,57,179,4,6,4,0,100,Xuân,56.1,52.0,51.8,72.6,32.5,53.36666666666667,60.3625,78.43611111111112,67.8,112.5,95.7,77.8,56.6,67.8,3.3055508870165227,57.64166666666667,7.391697840804921,9.511723315717608,35.65053900213027,88.6922619047619,34.39550520179337,46.9,75.7,1.6000000000000014,5.700000000000003,25.200000000000003,0.8841029888865879,0.7695753798208025,71.51428571428572,67.8,26.62539067453149,32.5,112.5,0.8068318018377947,-10.099999999999994,0.7574109325450828,-0.6529384957721424,0.6669159357284558,11.445039289988737,0,0,1,1.0,6.123233995736766e-17,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9382113821138212,0.0353878852284803,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 07:00:00,77.1,80.8,47.0,35.6,22.1,1098.0,Hà Nội,26.1,92.84259,5.815978,111.801476,0.0,1004.353,0.0,3,57,179,4,7,4,0,100,Xuân,57.7,54.7,49.8,75.0,54.9,57.91666666666666,61.2875,77.58611111111111,66.4,138.3,118.0,66.6,54.7,77.5,9.80783700245208,57.81666666666667,7.850632091907434,10.023117301257477,34.92533406155804,88.68988095238095,34.39629843592822,46.9,77.1,19.39999999999999,22.39999999999999,22.2,0.9449996600720648,0.7899287529984604,82.2857142857143,66.6,32.78553688093927,54.7,138.3,0.9369791666666664,-0.4000000000000057,0.9284762597438238,-0.3713917542058784,0.4162733909697999,13.621315972557422,0,0,1,0.9659258262890684,-0.2588190451025206,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9542079207920792,0.0324225865209471,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 08:00:00,73.1,77.5,77.0,32.9,26.2,1115.0,Hà Nội,27.65,87.0589,5.22,133.60289,0.0,1005.1577,0.0,3,57,179,4,8,4,0,100,Xuân,77.1,56.1,49.9,65.4,48.0,61.78333333333333,62.333333333333336,76.66111111111111,68.0,139.7,113.9,72.6,43.7,77.5,10.559624362006389,58.458333333333336,8.785779660478916,9.884932172653308,34.12996929945659,88.66369047619048,34.406543427233714,46.9,77.1,-4.0,16.999999999999993,25.099999999999994,0.9911764705882352,0.8131023987245453,79.85714285714286,72.6,34.88365697299415,43.7,139.7,0.9153846153846152,-4.400000000000006,0.7241370760958706,-0.6896560700982216,0.6755254200000003,13.9966077170418,0,0,1,0.8660254037844387,-0.4999999999999998,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9432258064516128,0.0295067264573991,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 09:00:00,77.3,81.7,120.0,29.0,31.8,1057.0,Hà Nội,29.35,81.24841,3.9477081,133.1524,0.0,1005.56396,0.0,3,57,179,4,9,4,0,100,Xuân,73.1,57.7,52.0,63.3,46.9,66.0,63.6,75.7875,65.9,140.2,122.5,81.7,41.3,78.7,10.91695928361115,59.625,10.288221420637164,9.768360638572071,33.27498716944552,88.65535714285714,34.409140546735685,49.8,77.3,4.200000000000003,19.599999999999994,30.4,1.0377358490566038,0.839188520534389,82.25714285714285,77.3,36.96150507139633,41.3,140.2,0.9397360194511984,-1.4000000000000057,0.7295370815946434,-0.6839412595964441,0.7402580373087896,16.421423486967633,0,0,0,0.7071067811865476,-0.7071067811865475,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9461444308445532,0.0274361400189214,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 10:00:00,91.7,94.8,169.0,24.6,35.8,973.0,Hà Nội,31.3,75.05816,3.3481934,126.25393,0.0,1005.57117,0.0,3,57,179,4,10,4,0,100,Xuân,77.3,77.1,54.7,60.1,50.4,72.16666666666667,65.32083333333333,75.04305555555555,68.9,145.3,139.2,92.0,42.0,88.5,13.42038250821144,62.258333333333326,13.84882392993983,10.91265636041786,32.28270293581292,88.67440476190475,34.40993972298251,49.8,91.7,14.400000000000006,14.600000000000009,41.3,1.1048032149008102,0.8704447446836074,89.92857142857143,91.7,40.4206100187233,42.0,145.3,1.0196981731532964,3.200000000000003,0.8064040435904073,-0.5913649621689135,0.83510104071856,17.261918478603093,0,0,0,0.4999999999999999,-0.8660254037844387,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9672995780590716,0.0252826310380267,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 11:00:00,103.1,106.2,231.0,19.2,36.6,859.0,Hà Nội,33.2,69.4305,3.9518096,120.0685,0.0,1004.779,0.0,3,57,179,4,11,4,0,100,Xuân,91.7,73.1,56.1,55.9,57.6,80.0,67.21666666666667,74.35416666666667,74.3,152.7,155.5,100.8,43.7,88.7,15.691398917880544,66.19166666666666,17.968783959125766,13.221151257727175,31.11014026752037,88.76011904761906,34.42793417390389,49.8,103.1,11.399999999999991,30.0,45.49999999999999,1.1901810066947682,0.9040067245727094,98.24285714285716,100.8,43.73045685952592,43.7,155.5,1.049440162861713,14.399999999999991,0.865427009735262,-0.5010350195552031,1.208048435672,14.021237811728463,0,0,0,0.258819045102521,-0.9659258262890682,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9708097928436912,0.0223515715948777,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 12:00:00,104.5,108.0,299.0,13.3,35.6,719.0,Hà Nội,34.75,63.116135,5.48631,131.00899,0.0,1003.6858,3.0,3,57,179,4,12,4,0,100,Xuân,103.1,77.3,57.7,51.8,65.7,87.8,68.83333333333333,73.65833333333335,75.9,154.6,165.8,108.3,47.4,94.5,13.921350509202927,70.58333333333333,20.40636412910744,15.244946893875817,29.82371090918048,88.81964285714287,34.44655716425661,49.8,104.5,1.4000000000000057,27.200000000000003,38.8,1.275544794188862,0.934494852358864,103.17142857142856,104.5,44.44771138786617,47.4,165.8,1.0128773193021323,10.0,0.7546066319256288,-0.6561774386961644,2.0235631738815,9.730668901116353,0,0,0,1.2246467991473532e-16,-1.0,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9675925925925926,0.0184979137691237,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 13:00:00,106.4,109.9,346.0,9.5,34.5,617.0,Hà Nội,35.15,58.01756,6.299999,126.86999,0.0,1002.6886,11.0,3,57,179,4,13,4,0,100,Xuân,104.5,91.7,77.1,49.8,67.5,92.68333333333332,70.45416666666667,73.03472222222223,77.8,151.3,164.8,112.7,52.6,101.0,14.542409245608685,75.3,21.66803259097717,17.05721775484578,28.622605858288665,88.85178571428571,34.46050759374255,49.8,106.4,1.9000000000000057,14.700000000000005,38.900000000000006,1.3155124489916612,0.9646667300560996,104.72857142857144,106.4,42.174862745704914,52.6,164.8,1.0159596235165735,5.400000000000006,0.7999990328685008,-0.6000012895065003,2.6448933001756,7.947612047618089,0,0,0,-0.2588190451025208,-0.9659258262890684,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9681528662420382,0.0153970826580226,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 14:00:00,107.3,110.6,363.0,8.9,33.6,572.0,Hà Nội,35.65,54.94733,7.891311,135.0001,0.0,1001.3916,33.0,3,57,179,4,14,4,0,100,Xuân,106.4,103.1,73.1,49.9,70.3,98.38333333333333,71.99583333333334,72.49444444444445,77.1,146.2,162.1,116.2,59.4,103.1,11.769522788404837,80.08333333333333,21.88568786520844,18.641199792667337,27.569869698277024,88.87678571428572,34.47242753658487,49.8,107.3,0.8999999999999915,4.200000000000003,37.0,1.3665142658718674,0.9931220783201776,105.51428571428572,107.3,39.04823634819839,59.4,162.1,1.0169239101001897,4.200000000000003,0.707105547051321,-0.7071080153196202,3.5552463035037,6.179890682037779,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9701627486437612,0.0155594405594405,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 15:00:00,104.5,107.6,359.0,10.4,32.5,565.0,Hà Nội,35.1,59.397614,10.1887,122.00535,0.0,1000.5906,16.0,3,57,179,4,15,4,0,100,Xuân,107.3,104.5,77.3,52.0,72.9,102.91666666666669,73.3125,71.99861111111112,73.3,140.2,160.7,115.7,67.1,103.6,5.695758655946856,84.45833333333333,20.99053718977048,19.7885191242405,26.640419851699217,88.88214285714287,34.47479912952788,49.8,107.3,-2.799999999999997,0.0,31.599999999999994,1.4038078999715828,1.0182488088118984,104.91428571428573,104.5,36.34998526232752,67.1,160.7,0.9960511982570808,0.9000000000000057,0.8479986111872406,-0.5299984485114188,4.136855302382,5.308714506600409,0,0,0,-0.7071067811865471,-0.7071067811865479,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.971189591078067,0.0184070796460177,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 16:00:00,100.6,102.9,337.0,13.3,31.2,596.0,Hà Nội,34.1,66.60537,13.37825,113.80595,0.0,999.78766,16.0,3,57,179,4,16,4,0,100,Xuân,104.5,106.4,91.7,54.7,74.5,104.4,74.39999999999999,71.40972222222223,68.0,143.0,153.2,111.3,75.9,102.7,2.3899790794337665,88.28333333333332,19.178720847160488,20.558802198233373,25.4927283734354,88.86964285714285,34.470139397038075,49.8,107.3,-3.9000000000000057,-5.800000000000011,26.099999999999994,1.403225806451613,1.0418749392200717,103.78571428571426,100.6,34.063735779243224,68.0,153.2,0.9693048864418446,-2.1000000000000085,0.9149177559114292,-0.4036403100756841,4.467617087975001,4.632369725105628,0,0,0,-0.8660254037844385,-0.5000000000000004,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.977648202137998,0.0223154362416107,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-10 17:00:00,97.8,99.4,287.0,18.3,29.6,698.0,Hà Nội,33.2,69.6349,11.113451,114.90474,0.0,999.28516,21.0,3,57,179,4,17,4,0,100,Xuân,100.6,107.3,103.1,56.1,75.7,103.51666666666664,75.32083333333333,70.70555555555556,62.2,148.5,146.7,106.4,86.8,103.8,3.6262469120007874,91.75833333333333,16.39276216856441,21.107179474347543,23.98921640888608,88.83392857142857,34.45768355144183,49.8,107.3,-2.799999999999997,-9.5,22.099999999999994,1.3743430879017535,1.0652746130274218,103.44285714285714,97.8,33.390460570990285,62.2,148.5,0.9454495235464716,-6.0,0.9070091794814444,-0.4211108504139932,3.374610509601,5.748560009860114,0,0,0,-0.9659258262890684,-0.2588190451025206,0.9888537064205885,-0.1488903868564548,0.8660254037844387,-0.4999999999999998,0.9839034205231388,0.0262177650429799,0.238732414637843,0.7257465404990427,0.5697746962689852
